time x1 y1 x2 y2
6.089999999999999858e+00 3.230393519510438294e-01 -9.569459635167752998e-01 5.055601966819165405e-01 3.642513594139229482e-02
6.100000000000000533e+00 3.506724844127358520e-01 -9.471688385265847332e-01 6.085871174756860569e-01 2.934539181110151773e-02
6.110000000000000320e+00 3.743923526851843375e-01 -9.380460363174359939e-01 7.098460411797827829e-01 1.461907948946117308e-02
6.120000000000000107e+00 3.932460903744529612e-01 -9.302996895652537734e-01 8.085355626576666843e-01 -9.628926365547352262e-03
6.129999999999999893e+00 4.061012583365954387e-01 -9.247603840873774850e-01 9.034080624274111182e-01 -4.567794051056539573e-02
6.140000000000000568e+00 4.116125734032384798e-01 -9.223204917035963124e-01 9.924893594927328699e-01 -9.607466909246831221e-02
6.150000000000000355e+00 4.082111006156604605e-01 -9.238309895939577077e-01 1.072752150159342666e+00 -1.632488484209075885e-01
6.160000000000000142e+00 3.941560630828188083e-01 -9.299145110896231969e-01 1.139899086734292188e+00 -2.487630281761982198e-01
6.169999999999999929e+00 3.677052203728868318e-01 -9.406874459194863869e-01 1.188559211072526267e+00 -3.522159292319952950e-01
6.179999999999999716e+00 3.274396824234212522e-01 -9.554492421758724596e-01 1.213212845694531472e+00 -4.701597376234958325e-01
6.190000000000000391e+00 2.726962351957459285e-01 -9.724899810846724391e-01 1.209795780500954265e+00 -5.957348322296474041e-01
6.200000000000000178e+00 2.039528756243345065e-01 -9.891932190045403805e-01 1.177299127448319993e+00 -7.195692696599044202e-01
6.209999999999999964e+00 1.229860856957285670e-01 -1.002484125921823788e+00 1.118440912105674645e+00 -8.316927661370139280e-01
6.219999999999999751e+00 3.271468389672863714e-02 -1.009470033957193369e+00 1.039050835598077205e+00 -9.235191771905475466e-01
6.230000000000000426e+00 -6.322313265603722587e-02 -1.008019263455395054e+00 9.465991311170743883e-01 -9.890720845585719845e-01
6.240000000000000213e+00 -1.610369484374765681e-01 -9.970792853318865001e-01 8.485697472654174511e-01 -1.025262968410652675e+00
6.250000000000000000e+00 -2.573502994438894298e-01 -9.766631063863017159e-01 7.511600545896612857e-01 -1.031498002274980230e+00
6.259999999999999787e+00 -3.496228438340578393e-01 -9.475567883084294873e-01 6.585064833543392560e-01 -1.008999930014155222e+00
6.270000000000000462e+00 -4.363199982274308941e-01 -9.108923422374428647e-01 5.724778936411745178e-01 -9.601550397017285521e-01
6.280000000000000249e+00 -5.168026840516459774e-01 -8.677643607322294006e-01 4.929934902969081989e-01 -8.880544142320180301e-01
